name,graduationRate,tuitionFees1314,publicprivate,enrollmentTotal,studentFactultyRatio,percentFTFirstTimeUGAnyAid,percentFTFirstTimeUGAnyGrantAid,avgAmountFTFirstTimeUGGrantAid,percentFTFirstTimeUGFederalGrantAid,avgAmountFTFirstTimeUGFederal,percentFTFirstTimeUGPell,avgAmountFTFirstTimeUGPell,percentFTFirstTimeUGOtherFederal,avgAmountFTFirstTimeUGOtherFederal,percentFTFirstTimeUGStateGrant,avgAmountFTFirstTimeUGStateGrant,percentFTFirstTimeUGInstitutionGrant,avgAmountFTFirstTimeUGInstitutionGrant,percentFTFirstTimeUGLoanAid,avgAmountFTFirstTimeUGLoanAid,percentFTFirstTimeUGFederalLoan,avgAmountFTFirstTimeUGFederalLoan,percentFTFirstTimeUGOtherLoan,avgAmountFTFirstTimeUGOtherLoan,avgNetPriceScholGrantAid1213,avgNetPriceUnder30KTitleIV1213,avgNetPrice30Kto48KTitleIV1213,avgNetPrice48Kto75KTitleIV1213,avgNetPrice75Kto110KTitleIV1213,avgNetPriceOver110KTitleIV1213
Buena Vista University,53,29448,Private not-for-profit,2399,10,98,98,20161,41,4741,41,3719,39,1068,50,3657,98,16315,92,8687,90,6172,35,6986,18906,16786,15974,18493,20455,15737
Central College,65,30700,Private not-for-profit,1386,12,100,100,21314,37,5304,30,4377,37,1780,47,4152,100,17412,80,7734,80,5814,15,10500,22177,20786,17767,19116,22810,16936
Clarke University,70,28000,Private not-for-profit,1225,9,99,99,15328,34,3503,34,3371,11,406,38,3974,99,12623,85,9494,85,5601,26,12671,22675,19008,20813,20185,21855,12984
Coe College,67,35730,Private not-for-profit,1419,11,100,99,24437,34,5127,33,4062,28,1428,32,4076,99,21386,80,8042,79,6910,17,5431,20934,20158,17372,18979,21657,13507
Cornell College,68,36430,Private not-for-profit,1125,11,96,96,24759,38,4516,37,4121,37,588,9,3739,96,22599,71,6445,71,5810,6,7961,21376,20702,14531,16399,22064,10796
Divine Word College,44,12100,Private not-for-profit,90,4,100,100,14846,27,6514,27,5550,27,964,0,,100,13070,27,2742,27,2742,0,,3099,4762,2569,,,4815
Dordt College,62,26540,Private not-for-profit,1430,15,100,100,13081,34,4136,34,3606,19,952,28,3883,100,10607,78,7321,70,5224,51,4053,24028,21420,20145,21492,23041,19793
Drake University,73,30889,Private not-for-profit,5139,11,99,99,16201,17,5874,16,3900,16,2316,10,3865,99,14818,57,7387,57,5396,9,12683,26330,23670,22548,23256,26261,18362
University of Dubuque,47,25520,Private not-for-profit,2023,13,94,93,13283,53,4404,52,4142,23,752,23,4533,89,10070,81,10662,81,7294,27,9972,20815,18923,18500,19911,20183,15571
Faith Baptist Bible College and Theological Seminary,59,15546,Private not-for-profit,267,10,100,100,8103,49,4476,48,4282,3,5451,38,4079,100,4361,58,6204,57,4722,10,9143,16745,15049,14031,16641,19280,12530
Graceland University-Lamoni,47,23530,Private not-for-profit,2286,15,100,100,18206,45,4971,45,4332,26,1172,18,4028,100,15214,83,10648,81,10515,10,3256,16288,12997,11740,15703,17157,9496
Grand View University,48,22628,Private not-for-profit,2129,13,100,100,13313,42,4348,42,4151,29,282,50,4032,99,9532,81,7262,80,5897,13,8633,18380,16884,16821,18435,19865,14875
Grinnell College,86,43656,Private not-for-profit,1721,9,90,87,29984,22,4706,22,4202,3,3838,4,4108,87,28606,42,5041,36,4530,11,4146,23334,21855,10432,16199,24219,8852
Iowa State University,68,7726,Public,32955,19,88,76,6666,22,4179,21,4142,7,811,2,6455,75,5397,55,6586,54,5388,8,9041,14095,8653,10211,13524,16452,17782
Iowa Wesleyan College,30,25550,Private not-for-profit,599,9,100,100,17885,59,5127,59,4619,30,1000,25,4119,100,13843,98,6731,98,5916,9,8886,18230,20304,17124,19062,19094,18805
University of Iowa,70,8061,Public,29748,16,83,71,7857,20,3988,20,3809,4,988,2,5705,55,8562,50,7013,49,5584,6,12630,15966,11351,12027,14142,15891,16079
Loras College,61,28852,Private not-for-profit,1621,12,100,100,15034,26,4276,25,3808,26,547,17,3856,96,13762,78,7603,78,6426,12,7758,22792,20294,15183,17797,19533,17594
Luther College,76,37530,Private not-for-profit,2466,12,100,100,21692,18,5449,18,3810,18,1736,12,3939,100,20203,68,8118,68,6699,9,10428,24873,23284,19150,21614,24989,17054
Maharishi University of Management,32,26430,Private not-for-profit,1136,13,97,97,20663,68,5448,68,4900,62,600,12,3840,97,16400,62,9546,62,9546,0,,17743,16261,14159,16234,,13962
Morningside College,58,25990,Private not-for-profit,2542,13,100,100,17320,46,4712,40,3834,22,2819,43,4140,100,13371,83,8266,82,6505,24,6252,18985,18399,16513,18578,20651,15808
Mount Mercy University,73,26310,Private not-for-profit,1761,14,85,85,17070,27,4073,26,3931,12,519,48,3892,85,13612,66,8311,66,6089,14,10603,20577,22854,16864,20851,22031,19038
Ashford University,21,10312,Private for-profit,58104,15,92,87,5698,81,4388,80,4314,11,575,2,1400,17,8009,84,7247,84,7245,0,5770,20266,17292,21153,19004,16109,18539
University of Northern Iowa,66,7685,Public,12159,16,87,63,5338,30,4152,25,3866,10,2609,6,4271,59,3129,59,5580,59,5172,3,7844,14299,9891,12218,15388,16833,17075
Northwestern College,63,26764,Private not-for-profit,1233,11,100,100,17251,37,4209,35,3744,28,922,34,3771,100,14395,70,7140,70,6028,22,3700,20633,20761,17704,19032,19901,18167
Des Moines University-Osteopathic Medical Center,,,Private not-for-profit,1763,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Palmer College of Chiropractic-Davenport,67,8388,Private not-for-profit,2135,10,100,40,8675,40,8675,40,5550,40,3125,0,,0,,100,11842,100,9442,20,12000,22547,16501,0,24669,,16501
Saint Ambrose University,61,26740,Private not-for-profit,3607,10,100,100,16269,25,4040,25,3707,10,817,19,3720,100,14537,93,8136,93,5901,18,11740,21907,22261,18947,22171,22759,13186
Simpson College,65,30999,Private not-for-profit,1773,13,100,100,20769,35,4037,33,3596,13,1767,51,4005,100,17312,79,8802,79,6803,20,7981,19434,19064,17512,17899,20119,15235
Upper Iowa University,40,24400,Private not-for-profit,5304,17,85,85,17503,36,4258,36,3533,18,1466,34,3844,80,14941,84,4846,84,4234,5,10305,17654,17036,16593,16440,19032,17822
Waldorf College,43,20316,Private for-profit,1150,20,100,100,10994,54,3532,51,3215,54,472,15,1537,98,9036,92,6164,88,6183,3,5645,19306,17095,17183,19040,20225,16743
Wartburg College,63,34250,Private not-for-profit,1714,11,99,98,20767,28,4615,27,4122,27,633,34,3985,97,18225,71,7457,71,6119,9,10702,22565,19740,17734,21419,24236,13626
Wartburg Theological Seminary,,,Private not-for-profit,139,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
William Penn University,40,23210,Private not-for-profit,1875,17,100,99,15224,57,4640,55,4021,57,701,31,3061,94,12230,95,8485,95,7536,68,1372,17857,16708,17165,18139,19175,15272
Baker University,52,25580,Private not-for-profit,3076,9,100,100,18738,26,4852,26,4277,24,610,35,2716,100,16535,73,6915,73,6115,9,6537,18771,19445,15604,16587,19962,17477
Benedictine College,59,23900,Private not-for-profit,2177,15,100,100,14484,25,4866,25,4260,20,759,16,2812,100,12793,68,6862,68,6314,7,5406,22242,20868,17984,19835,23011,17655
Bethany College,39,23305,Private not-for-profit,665,12,98,98,14992,45,4264,45,3756,21,1110,34,2882,98,12036,82,7270,82,6583,6,10101,18979,16904,17430,18038,19865,13223
Bethel College-North Newton,53,23500,Private not-for-profit,482,10,100,97,15333,48,4090,48,3530,46,585,34,2822,97,12351,71,7066,71,6672,3,9452,18516,16429,18226,17675,19633,12058
Central Baptist Theological Seminary,,6980,Private not-for-profit,337,9,100,100,3158,0,,0,,0,,0,,100,3158,0,,0,,0,,20909,,0,,,0
Central Christian College of Kansas,50,14800,Private not-for-profit,1037,14,93,93,8587,57,4009,57,3788,30,417,10,2547,68,7995,74,7949,74,7118,5,11767,19563,16102,18242,18191,19357,13305
Emporia State University,41,5614,Public,6033,15,96,87,4429,41,4736,41,4536,19,427,22,1160,70,2329,75,5971,75,5688,4,6272,11296,10007,12061,13745,15538,15612
Fort Hays State University,45,4358,Public,13441,18,97,89,4335,44,4300,44,4262,2,800,14,1239,70,2530,68,5801,67,5596,6,2938,11207,8488,9721,12409,13481,13669
Barclay College,59,14090,Private not-for-profit,260,11,100,100,12455,58,3922,50,4351,8,1063,3,1000,100,10175,68,4769,68,4510,3,7000,12535,11878,20998,22590,24467,3757
Friends University,32,23430,Private not-for-profit,2178,14,100,99,14378,44,5058,44,4400,25,1141,49,3224,97,10826,77,6688,77,6469,2,10866,19379,18031,17373,17418,19302,16775
Haskell Indian Nations University,7,80,Public,742,16,52,52,4225,52,4225,52,4220,0,550,0,,0,55,0,,0,,0,,3831,3556,3855,4981,7156,0
University of Kansas,62,10107,Public,26968,17,79,63,6732,22,4123,22,3919,8,723,13,1001,54,5997,47,6674,47,5475,7,8768,16923,13943,15183,17615,19931,20773
Newman University,52,23650,Private not-for-profit,3736,14,99,99,16528,34,4062,34,3878,10,835,32,3046,98,14226,57,6397,57,6016,3,6856,16943,16551,16253,15686,18364,16662
Kansas State University,59,8585,Public,24581,19,83,72,5088,24,4011,24,3834,8,554,14,1531,63,3842,52,6063,52,5605,3,8749,15414,13078,13084,15255,17405,18358
Kansas Wesleyan University,43,23800,Private not-for-profit,729,14,99,99,13322,33,4621,33,4143,4,3667,21,3168,99,11197,77,8467,77,6539,14,10858,21197,18630,19526,19479,21857,16561
Manhattan Christian College,35,13642,Private not-for-profit,327,14,96,96,8356,44,3872,44,3681,10,871,36,2406,96,5692,68,5882,68,5203,7,6795,17096,17946,12896,16151,16001,14063
McPherson College,49,22891,Private not-for-profit,656,14,95,95,13861,45,4445,44,4140,30,537,38,2652,95,10736,83,9677,82,8475,13,8309,20682,18462,16932,20019,22360,15482
MidAmerica Nazarene University,55,22290,Private not-for-profit,1907,5,99,97,13113,43,4222,43,3885,22,745,19,2944,95,10890,76,7129,76,6336,6,11032,19217,15374,16828,17338,20573,11588
Ottawa University-Ottawa,34,23964,Private not-for-profit,558,11,100,100,17181,37,4947,37,4240,36,732,36,1934,100,14660,79,7809,79,7589,1,13350,17837,15756,16040,19202,18987,13601
Ottawa University-Kansas City,,,Private not-for-profit,356,10,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Pittsburg State University,50,5906,Public,7400,19,91,77,3974,40,4160,39,4081,10,624,17,1569,54,2057,63,5779,63,5501,3,6567,11362,9279,10058,12708,13923,13156
University of Saint Mary,53,23170,Private not-for-profit,1325,10,100,100,15603,58,2919,40,3975,18,607,27,2684,99,13314,94,5791,81,5633,13,6782,15611,17034,16143,14390,16116,15355
Southwestern College,53,23886,Private not-for-profit,1661,8,100,100,14868,43,5025,43,4447,14,1762,37,3053,100,11560,80,8355,80,7958,5,6686,21609,19359,19075,21763,22599,15628
Sterling College,42,21200,Private not-for-profit,690,13,100,100,12901,42,3749,41,3648,6,1188,27,2901,100,10544,80,6229,80,5709,6,7220,17821,16975,12794,16689,18035,12818
Tabor College,55,22730,Private not-for-profit,736,15,100,100,13869,46,3724,43,3328,40,691,24,2798,100,11507,79,7087,79,6137,8,9587,22091,19985,20123,21686,22910,18611
Washburn University,37,5774,Public,6973,14,92,81,5680,42,4923,42,4618,11,1396,16,1300,59,3913,60,5970,60,5847,2,5936,10815,8904,10209,12900,13529,14338
Wichita State University,46,6926,Public,14386,20,89,89,5464,39,4285,39,4145,7,763,21,1112,64,4579,46,5476,46,5351,1,7841,9039,13336,13176,14331,14764,0
Alice Lloyd College,32,10620,Private not-for-profit,631,17,100,100,8751,65,4721,65,4344,10,2451,76,4237,73,3313,72,4172,71,4091,4,2470,11036,10546,10134,8318,,10449
Asbury University,64,26076,Private not-for-profit,1797,12,99,97,14253,53,3994,48,3878,27,1077,57,3910,94,10061,90,8829,89,7565,12,10479,19418,19458,19565,24526,26365,16885
Asbury Theological Seminary,,,Private not-for-profit,1440,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Bellarmine University,66,34890,Private not-for-profit,3419,12,100,100,23824,27,3956,27,3609,25,382,63,4286,100,20064,65,6833,65,5454,9,10607,23977,22128,20217,21716,25440,16756
Berea College,62,23170,Private not-for-profit,1623,11,100,100,28073,91,4353,91,4288,4,1550,40,6634,100,21474,30,1411,19,1715,10,856,2323,3354,2437,5433,5164,1905
Brescia University,30,19640,Private not-for-profit,949,14,100,99,15005,51,4065,45,4235,33,523,79,3500,97,10297,93,4764,91,4754,7,1873,12399,12119,9378,12488,14898,10566
Campbellsville University,44,22196,Private not-for-profit,3520,13,95,94,17086,57,4263,57,4224,3,833,72,4381,90,11535,70,6610,68,6513,3,9107,14187,12492,12200,14480,14691,10134
Centre College,82,36020,Private not-for-profit,1381,11,97,97,20922,16,4062,15,3684,5,1361,51,4079,97,18129,48,6213,46,5236,6,9019,25478,22462,17024,20676,23685,15683
Clear Creek Baptist Bible College,62,6436,Private not-for-profit,152,14,100,100,6650,80,2759,80,2684,30,200,0,,100,4443,0,,0,,0,,6406,6433,5740,,,6144
University of the Cumberlands,43,20000,Private not-for-profit,4924,14,100,100,13923,58,4530,58,3968,38,870,56,4674,100,8670,79,6247,79,6086,2,5285,17097,15495,16186,17013,21125,13508
Eastern Kentucky University,39,7536,Public,16111,17,97,95,6653,48,4434,48,4290,13,547,81,2221,43,5565,64,5740,64,5497,2,8827,11383,8119,8826,11849,14082,14556
Frontier Nursing University,,,Private not-for-profit,1427,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Georgetown College,57,32310,Private not-for-profit,1399,9,98,98,22469,37,4240,37,4050,6,1117,75,4062,98,17842,73,7318,73,6795,6,6028,19446,16865,15416,18681,20061,11879
Kentucky Mountain Bible College,78,7140,Private not-for-profit,79,12,100,100,4955,74,4854,74,4725,47,200,0,,95,1456,42,3949,42,3949,0,,10663,5490,10677,12093,14725,4702
Kentucky State University,18,6276,Public,2533,14,89,83,6773,76,4855,75,4755,16,552,22,1346,39,4278,82,7675,82,7516,1,10231,11635,10939,12341,16725,17753,17387
Kentucky Wesleyan College,38,21200,Private not-for-profit,657,11,100,100,14451,50,4554,48,3902,31,1317,72,4077,100,9225,89,5021,85,4784,4,10283,15773,13100,13677,14716,16792,10195
University of Kentucky,62,10110,Public,28435,18,93,85,8347,26,4516,25,4294,5,1621,66,2295,59,7531,49,7337,48,5611,7,13020,14839,9743,11831,15416,17779,18220
Kentucky Christian University,39,17418,Private not-for-profit,594,12,100,100,9748,52,4216,52,4053,13,672,42,3995,97,6051,83,6720,83,6179,6,7490,19450,16800,15731,20615,21926,15635
Lexington Theological Seminary,,,Private not-for-profit,84,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Lindsey Wilson College,30,22070,Private not-for-profit,2644,15,100,100,18095,63,4311,63,4133,16,714,82,4460,98,11973,70,5337,70,5114,3,6171,15442,15645,14843,15294,17043,15018
University of Louisville,53,9946,Public,21444,11,97,93,8813,32,4483,32,4243,21,385,81,2208,58,8590,46,6056,46,5276,4,9847,13875,9908,10408,15496,17400,17743
Louisville Presbyterian Theological Seminary,,,Private not-for-profit,199,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Mid-Continent University,25,8673,Private not-for-profit,2251,18,95,94,2441,83,2140,83,2100,6,600,13,2442,4,4889,84,4052,84,4039,1,3225,27062,26806,27431,27605,28544,28757
Midway College,52,22150,Private not-for-profit,1351,13,100,100,13673,54,4603,54,4346,13,1046,65,4392,99,8455,82,9795,81,8941,7,11152,18624,16268,18522,19507,19518,16561
Morehead State University,40,7498,Public,11358,18,99,97,8317,52,4346,52,4244,13,428,79,2412,73,5264,69,5621,69,5291,4,6644,10119,8774,8686,11442,13266,13893
Murray State University,53,7044,Public,10943,16,99,97,8509,38,4613,38,4527,7,482,59,2278,70,7407,55,7266,54,6633,4,8986,9765,7381,8003,10727,13113,12951
Northern Kentucky University,38,8376,Public,15263,19,95,86,5798,39,4628,38,4366,4,3622,61,1821,49,4201,60,5891,60,5604,3,7349,9044,4689,7213,10290,12226,12447
University of Pikeville,31,17750,Private not-for-profit,2205,16,100,100,15788,65,5010,65,4827,7,1630,78,4841,99,8811,95,6395,95,6343,1,6015,15221,16746,13929,16522,18008,15121
The Southern Baptist Theological Seminary,52,15514,Private not-for-profit,3226,14,66,50,1518,0,,0,,0,,0,,50,1518,26,8886,0,,26,8886,21132,18877,0,,,0
Spalding University,40,22425,Private not-for-profit,2367,14,99,99,14589,54,4774,54,4589,15,690,78,4121,96,8905,67,6120,67,5655,4,9872,16432,17564,14475,15401,20665,15031
Sullivan University,48,17970,Private for-profit,5017,19,99,95,6336,73,5010,73,4807,54,316,32,2990,76,1841,90,10637,90,7757,25,10357,23386,25260,21782,25625,27839,22658
Thomas More College,57,27345,Private not-for-profit,1600,13,100,100,17414,41,4038,41,3672,20,747,44,4304,98,14181,75,7535,74,6896,7,7719,19317,18615,18548,22332,18174,29978
Transylvania University,72,31560,Private not-for-profit,1082,11,100,100,19505,30,4474,30,3922,20,832,70,4337,100,15087,62,6707,62,5991,4,10543,21902,19763,16435,19470,23085,14308
Union College,34,22000,Private not-for-profit,1164,13,100,100,14263,59,4501,59,4345,10,886,62,4382,100,8855,87,6493,84,5870,23,3123,17385,15370,18470,19507,22719,13685
Western Kentucky University,44,8722,Public,20448,17,93,88,6124,44,4223,44,4128,9,453,72,2300,32,5968,57,6434,57,6047,3,8775,10597,10350,13099,13643,14562,0
Centenary College of Louisiana,59,30740,Private not-for-profit,661,9,100,100,20895,37,4508,37,4337,22,291,62,4202,100,16634,61,6688,60,5839,4,12478,19845,15383,15540,17126,21416,11837
Dillard University,46,16094,Private not-for-profit,1183,14,99,99,8922,81,4919,80,4729,34,570,24,2116,93,4643,95,8617,95,8328,2,11799,16461,12355,16900,16975,19239,12242
Grambling State University,32,5950,Public,5071,23,96,96,5964,96,4406,83,4771,14,2092,42,1637,19,4274,91,7802,91,7688,1,7710,14373,13814,14125,16416,18847,17456
Louisiana State University Health Sciences Center-New Orleans,,,Public,2829,5,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Louisiana State University-Alexandria,14,5337,Public,2229,16,92,92,5263,59,2901,59,2771,3,3020,66,4187,30,1244,35,4849,34,4683,2,5385,8888,11579,8945,9157,13064,12863
Louisiana State University and Agricultural & Mechanical College,69,7873,Public,30478,23,93,88,8037,23,4536,23,4209,3,3204,77,5242,50,3939,43,6158,42,5584,2,13417,12882,5049,9465,13729,15184,14945
Louisiana State University-Shreveport,33,5606,Public,4114,18,94,90,7311,35,4626,35,4610,1,1000,80,3399,57,3832,27,4829,27,4829,0,,7042,6097,6795,7873,11283,10196
Louisiana College,43,14120,Private not-for-profit,1400,16,96,96,9156,45,4325,41,4162,18,1289,66,3329,96,4838,65,5356,65,5219,1,6533,13784,12112,12594,11599,11719,11564
Louisiana Tech University,49,7302,Public,11015,23,94,91,8463,32,4125,32,4083,2,850,75,4364,65,4832,37,4963,37,4918,0,3497,9137,7027,7578,11375,12013,12034
Loyola University New Orleans,55,36860,Private not-for-profit,4686,10,98,97,23523,35,4882,35,4454,21,731,34,3857,97,20400,67,6705,67,5983,4,10710,23419,22808,18201,21856,24576,17447
McNeese State University,38,5701,Public,8341,22,95,89,6243,39,4369,39,4327,4,461,74,3430,38,3555,37,4685,37,4628,0,6849,7958,6453,7295,9861,11652,12035
University of New Orleans,32,6578,Public,9323,21,90,85,7598,44,4525,44,4242,27,454,73,4082,31,4749,37,4952,37,4793,2,4288,8601,7222,8283,10487,12839,12086
New Orleans Baptist Theological Seminary,23,6540,Private not-for-profit,2638,13,73,65,667,0,,0,,0,,10,1898,55,439,4,7000,0,,4,7000,10930,9562,0,,,0
Nicholls State University,41,6468,Public,6532,20,95,90,6786,44,4299,44,4249,4,718,84,3525,34,3698,51,5056,50,4999,1,6965,8850,7770,8329,11467,12957,12194
University of Louisiana at Monroe,40,6318,Public,8645,23,96,96,7642,50,4503,50,4456,4,559,81,3574,42,5206,47,4794,47,4742,0,8695,7162,6404,6465,8888,10428,10806
Notre Dame Seminary Graduate School of Theology,,,Private not-for-profit,184,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Northwestern State University of Louisiana,37,6207,Public,8944,20,95,91,8904,48,4706,48,4564,8,954,76,3447,67,4798,53,5463,53,5288,2,6054,7950,6605,8140,9991,10845,11032
Our Lady of Holy Cross College,28,9950,Private not-for-profit,1112,11,81,68,6657,42,4856,42,4856,0,,63,2833,20,3340,61,5501,61,5268,2,8375,11003,17284,11934,13510,12947,16178
Saint Joseph Seminary College,75,16140,Private not-for-profit,133,9,50,50,6237,33,5050,33,5050,0,,33,4136,8,675,0,,0,,0,,24728,25935,26865,25965,,26800
Southeastern Louisiana University,36,5715,Public,14934,23,93,86,6811,41,4213,41,4150,3,903,77,3306,31,5007,46,4647,46,4565,1,5137,8886,7318,8521,11195,12469,12761
Southern University and A & M College,32,6630,Public,6777,15,98,76,3903,25,6386,20,5132,23,2318,52,1388,26,2554,94,3194,94,3181,1,5012,14305,14078,15733,15602,15524,16428
Southern University at New Orleans,11,4911,Public,2292,18,58,58,2415,58,1962,58,1905,8,438,10,679,12,1662,58,1434,58,1434,0,,8528,8474,0,,,0
University of Louisiana at Lafayette,45,6192,Public,16646,22,94,90,6553,37,4447,37,4391,4,563,83,3571,37,3447,36,4972,36,4972,0,,7920,6525,7657,10787,11913,11765
Tulane University of Louisiana,76,46930,Private not-for-profit,12938,9,79,75,27002,10,4835,10,3963,9,1005,11,4150,75,26006,36,8556,35,7318,2,18655,31886,28855,20601,28637,32562,20345
Xavier University of Louisiana,48,20560,Private not-for-profit,3121,15,99,96,9637,60,5239,60,4558,40,1051,47,3495,74,5951,67,6837,66,6790,4,3542,17829,18127,20386,20379,16871,19479
College of the Atlantic,69,38952,Private not-for-profit,370,10,100,100,26669,31,5359,31,4677,23,938,14,892,100,24883,65,7500,65,6155,7,12378,21970,15958,15211,22629,28053,11257
Bates College,93,45650,Private not-for-profit,1791,10,43,41,36636,8,4521,8,4521,0,,2,1258,41,35689,17,8325,16,4743,2,28651,22649,21402,7196,13749,26267,9906
Bowdoin College,93,45446,Private not-for-profit,1795,9,50,50,36007,14,6073,14,4249,7,3876,3,861,50,34290,18,5338,17,4939,1,8250,22193,22525,8906,10965,20562,5647
Colby College,93,45760,Private not-for-profit,1820,10,47,41,36494,12,8584,12,4584,12,4000,5,1058,41,33827,23,7027,22,5129,2,20255,20806,19699,9010,18314,18795,6896
Husson University,47,15130,Private not-for-profit,3049,15,79,78,6119,29,6163,29,4363,26,1980,23,2078,61,4150,61,8961,60,6383,17,9416,19068,14083,14835,15070,21075,11992
University of Maine at Augusta,14,7500,Public,4770,17,89,76,5473,70,4544,70,4441,18,405,51,972,29,1611,69,5737,69,5669,1,7310,8379,9046,10103,12780,13885,13927
University of Maine at Farmington,55,9167,Public,2061,13,96,77,7098,49,5127,49,4127,46,1078,53,1219,73,3141,83,6272,82,5444,10,6980,13649,11305,12370,15186,18515,20189
University of Maine at Fort Kent,43,7575,Public,1209,14,97,88,5626,52,4200,52,3824,43,450,43,958,88,2678,67,5818,65,5288,7,6490,12240,10963,10611,13857,15746,17114
University of Maine at Machias,31,7490,Public,892,12,98,97,8277,60,5259,60,4180,57,1124,48,944,96,4618,67,5432,67,4838,6,7898,9727,7107,8926,10485,13160,14087
University of Maine,56,10600,Public,11247,16,93,82,8453,42,5098,42,4188,24,1649,33,1240,71,6124,73,9309,72,7141,16,10447,16255,12921,14549,16813,19173,21066
Maine Maritime Academy,75,11950,Public,1018,13,72,60,5006,22,6002,22,4098,8,5022,20,1310,23,6182,69,10905,69,5761,24,14871,18073,16638,16918,20017,20023,22278
University of Maine at Presque Isle,31,7300,Public,1263,14,99,95,5840,79,3801,58,4138,75,832,59,844,80,2528,79,5212,78,4963,4,6268,10743,8506,9313,12195,14161,13753
University of New England,60,33145,Private not-for-profit,6032,13,100,100,17759,27,4230,27,4195,0,2000,21,1016,100,16406,87,11653,86,6773,28,15415,30174,28768,25707,27425,29908,24030
Maine College of Art,45,30990,Private not-for-profit,409,10,100,100,13638,40,4887,40,3959,40,927,23,1020,100,11435,80,8981,77,6161,20,12790,29179,26551,27750,28196,29763,23150
Saint Joseph's College of Maine,55,30990,Private not-for-profit,1614,12,98,97,16190,30,4092,30,3753,29,405,24,953,96,14800,87,9961,86,6302,24,13576,26927,25161,24661,24601,27510,18681
University of Southern Maine,34,8920,Public,8923,14,93,78,6514,45,4783,45,4063,37,874,39,915,59,4314,74,7033,72,5699,11,9669,16635,14414,15258,18509,20311,20549
Thomas College,43,22770,Private not-for-profit,1522,22,98,98,14339,55,4936,55,3993,55,973,47,1114,98,11005,90,7874,90,6559,12,9933,19461,18158,15612,15978,22776,15806
Unity College,51,25000,Private not-for-profit,553,11,99,98,11654,43,5025,43,4605,43,420,29,947,98,9202,88,8326,88,6208,15,12471,22516,19412,16460,19764,24186,14948
University of Baltimore,38,7838,Public,6518,16,95,93,8031,57,5163,57,4779,12,1803,41,3361,73,4306,55,5855,55,5571,2,9837,17231,13639,17315,17854,21388,20987
Bowie State University,35,6971,Public,5561,16,90,70,8393,52,4566,52,4405,5,1536,35,3829,49,4531,73,6661,72,6439,3,8587,11009,8581,11081,14937,17286,18011
Capitol College,43,22296,Private not-for-profit,843,12,100,88,12296,57,4624,57,4184,51,492,32,4048,49,13900,48,11999,48,11999,0,,19034,16784,21720,17835,15341,15558
Washington Adventist University,37,21020,Private not-for-profit,1185,10,98,96,11026,53,5314,53,4613,37,1016,10,3100,93,8038,72,7015,72,7015,0,,16737,16303,15605,17169,17417,13154
Coppin State University,14,6252,Public,3383,14,95,84,7052,84,4365,72,4584,38,911,28,2797,39,3804,74,5660,74,5660,0,,9667,10206,12599,16147,6741,0
Frostburg State University,47,7728,Public,5473,15,83,61,6699,36,4540,36,4378,9,678,31,3676,44,3042,64,8368,63,7221,8,10241,12938,13962,15514,17783,19422,19323
Goucher College,68,39084,Private not-for-profit,2111,9,91,88,24733,26,5228,26,4641,15,1006,9,6976,88,22448,60,7769,60,5686,8,15526,26030,28152,17885,23042,27209,18189
Hood College,66,33280,Private not-for-profit,2392,12,98,98,20817,29,4649,27,4226,14,1160,22,5946,98,18142,71,7849,71,6800,6,12249,24470,20720,17962,21861,23673,13247
Johns Hopkins University,93,45470,Private not-for-profit,20918,10,61,48,37652,17,5077,15,4095,16,1354,3,3410,47,36152,37,6228,37,4416,3,20249,21308,25795,8574,14927,25131,13611
Loyola University Maryland,84,43250,Private not-for-profit,5977,12,81,66,25428,16,5462,15,4030,12,2118,5,3114,65,24245,57,8387,56,5464,39,4427,31306,28118,24248,25769,30186,21629
University of Maryland-University College,3,6552,Public,39557,17,77,67,3758,61,3197,60,3179,4,714,14,3095,11,1049,62,7179,62,7155,1,2386,9489,9358,0,,,0
University of Maryland-Baltimore,,,Public,6284,6,,,,,,,,,,,,,,,,,,,,0,,0,,,0
University of Maryland-Baltimore County,65,10068,Public,13908,20,77,65,8068,21,4530,21,4370,7,556,20,2926,50,7489,39,7031,38,5414,5,13405,14321,13285,14727,19011,21043,21654
University of Maryland-College Park,84,9162,Public,37272,18,73,63,7118,15,4353,15,4154,2,1269,17,3299,53,6362,35,7252,35,5627,4,16246,14941,7901,11394,15134,19364,21252
Maryland Institute College of Art,73,40890,Private not-for-profit,2273,10,97,97,15096,23,4838,23,4423,9,1000,9,7908,97,13218,58,8946,57,5944,9,19928,37718,33857,34194,35202,38200,24911
University of Maryland Eastern Shore,32,6998,Public,4220,14,93,62,10037,58,4704,58,4529,15,655,32,3594,43,5459,73,7105,73,6975,1,10475,12750,10682,13746,17238,19462,19744
