name,graduationRate,tuitionFees1314,publicprivate,enrollmentTotal,studentFactultyRatio,percentFTFirstTimeUGAnyAid,percentFTFirstTimeUGAnyGrantAid,avgAmountFTFirstTimeUGGrantAid,percentFTFirstTimeUGFederalGrantAid,avgAmountFTFirstTimeUGFederal,percentFTFirstTimeUGPell,avgAmountFTFirstTimeUGPell,percentFTFirstTimeUGOtherFederal,avgAmountFTFirstTimeUGOtherFederal,percentFTFirstTimeUGStateGrant,avgAmountFTFirstTimeUGStateGrant,percentFTFirstTimeUGInstitutionGrant,avgAmountFTFirstTimeUGInstitutionGrant,percentFTFirstTimeUGLoanAid,avgAmountFTFirstTimeUGLoanAid,percentFTFirstTimeUGFederalLoan,avgAmountFTFirstTimeUGFederalLoan,percentFTFirstTimeUGOtherLoan,avgAmountFTFirstTimeUGOtherLoan,avgNetPriceScholGrantAid1213,avgNetPriceUnder30KTitleIV1213,avgNetPrice30Kto48KTitleIV1213,avgNetPrice48Kto75KTitleIV1213,avgNetPrice75Kto110KTitleIV1213,avgNetPriceOver110KTitleIV1213
Tuskegee University,44,18900,Private not-for-profit,3118,13,96,73,5376,54,3061,54,2840,6,2000,0,,22,10250,61,5858,59,5501,7,5500,27477,22564,27351,30769,29401,22371
United States Sports Academy,,,Private not-for-profit,347,8,,,,,,,,,,,,,,,,,,,,0,,0,,,0
University of Alaska Anchorage,25,5147,Public,17363,11,81,70,5729,32,4148,32,4075,6,513,47,3231,39,2968,32,5526,32,5210,2,7588,7276,6204,7014,9195,11295,11713
University of Alaska Fairbanks,31,4984,Public,9166,8,83,73,6439,27,3937,27,3851,6,406,52,4263,38,3654,35,5342,34,4965,2,8681,8281,7916,7059,9646,11720,12529
University of Alaska Southeast,14,5693,Public,2996,9,79,70,6367,34,4496,33,4482,5,537,43,3618,50,2819,32,6109,30,5743,3,6653,9157,8443,7994,11898,13268,10957
Alaska Pacific University,39,29810,Private not-for-profit,669,8,100,100,10192,42,2298,42,2152,15,400,15,1932,100,8922,58,4017,58,3183,4,12500,32131,29592,28525,29899,33475,28552
Collins College,38,,Private for-profit,254,10,97,86,5447,75,5622,75,5276,10,2535,0,,17,3046,85,8220,85,8220,0,,0,,0,,,0
Thunderbird School of Global Management,,,Private not-for-profit,1022,20,,,,,,,,,,,,,,,,,,,,0,,0,,,0
American Indian College of the Assemblies of God Inc,50,12000,Private not-for-profit,79,6,100,100,8021,100,4694,100,4650,13,350,38,3794,63,3046,75,5207,75,5207,0,,12580,16246,11375,,,15706
Arizona State University-Tempe,59,9861,Public,48702,23,91,87,9450,30,4606,29,4361,8,1150,1,1129,85,8049,42,6306,41,5201,3,15467,12380,8246,9083,13292,14918,15904
University of Arizona,61,10391,Public,40621,21,83,75,10415,30,4360,30,4352,0,3670,0,2287,72,8957,37,6221,36,5144,3,15239,14070,10542,11413,15096,18507,19480
Southwest University of Visual Arts-Tucson,83,34541,Private for-profit,221,9,84,60,4069,51,2459,51,2459,0,,6,1762,56,1965,69,4184,69,4184,0,,43211,40332,45889,45393,,43250
Embry-Riddle Aeronautical University-Prescott,59,31034,Private not-for-profit,1921,16,91,90,10802,20,4044,20,4044,0,,0,,90,9911,61,11497,60,4653,16,27460,34426,33720,37078,35930,35794,30386
Frank Lloyd Wright School of Architecture,,,Private not-for-profit,10,3,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Grand Canyon University,30,17000,Private for-profit,55497,21,98,98,11575,52,5064,52,4730,17,1060,1,1793,95,9111,73,6562,73,6305,2,8145,20084,16776,27287,29978,31561,23948
Northern Arizona University,49,9738,Public,26594,19,83,66,8179,37,4427,37,4208,4,2368,5,2346,61,5945,59,6321,58,5676,3,12009,14398,11962,12893,15636,18280,19619
Ottawa University-Phoenix,,,Private not-for-profit,653,6,,,,,,,,,,,,,,,,,,,,0,,0,,,0
University of Phoenix-Phoenix Campus,16,11320,Private for-profit,4480,21,95,91,5414,85,5443,85,5286,27,500,4,500,28,1075,94,8384,94,8384,0,,18743,21176,18222,20628,23565,21739
Prescott College,38,29732,Private not-for-profit,943,9,94,92,16168,52,4705,52,3977,17,2182,0,,91,13770,67,7789,67,6855,5,13386,24038,25882,21803,23456,27860,19385
Arizona Christian University,47,21832,Private not-for-profit,635,13,99,98,11892,45,4079,38,3886,13,2958,1,170,97,10113,68,9064,68,7428,7,15193,22670,21749,22041,20957,23255,24830
Western International University,19,6000,Private for-profit,2042,14,90,85,5807,77,5748,77,5278,23,1565,0,,18,2743,72,9208,72,9208,0,,20304,24340,21918,18697,,23782
University of Arkansas at Little Rock,24,7094,Public,12377,14,94,92,10281,53,4469,53,4411,5,676,71,4207,46,8802,46,4725,46,4537,1,6781,9793,9026,9684,12016,12257,11921
University of Arkansas for Medical Sciences,,,Public,2867,7,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Arkansas Baptist College,16,8040,Private not-for-profit,1027,20,88,83,2937,83,2551,83,2527,2,1000,7,2263,9,1744,73,6813,73,6813,0,,17011,14843,16788,17413,20024,14184
Lyon College,50,23594,Private not-for-profit,592,12,100,100,19186,42,4563,42,4202,18,864,71,4659,100,13985,71,5313,71,4986,4,6201,14307,12031,9114,12706,15712,8204
University of Arkansas,60,7818,Public,25341,19,81,66,7619,22,4359,22,4136,5,948,50,4764,35,4917,41,6435,41,5553,3,11661,12057,8801,9567,12995,14456,14930
University of Arkansas at Pine Bluff,26,5938,Public,2615,15,96,92,8319,82,4968,82,4654,25,1101,27,4044,41,6025,74,6505,74,6356,1,12542,7298,7140,7876,9652,11824,15414
Arkansas State University-Main Campus,37,7510,Public,13552,18,95,93,9890,48,4419,48,4284,7,891,74,4436,63,6019,50,5273,50,5144,1,6349,8984,7990,8185,11353,12230,11508
Arkansas Tech University,40,5598,Public,11369,20,95,93,7541,57,4262,57,4237,4,349,67,4132,39,4682,49,4709,49,4593,1,5531,8137,8433,8399,10294,11585,11585
University of Central Arkansas,42,7595,Public,11534,17,95,93,8473,47,4409,47,4266,7,943,77,4502,46,5147,53,5849,53,5786,1,6314,9348,8003,8879,10384,12110,12483
Central Baptist College,39,13350,Private not-for-profit,827,12,99,97,8830,58,3281,43,4323,15,225,60,4400,95,4249,68,5265,66,5236,2,6223,11574,10953,8605,13813,13315,8901
Harding University,62,16170,Private not-for-profit,6238,17,98,96,8834,28,4217,28,3955,15,473,22,4567,94,6711,58,7272,58,6529,5,8773,16578,14617,21435,24091,25320,18302
Henderson State University,29,7580,Public,3583,15,98,95,9155,60,4470,57,4355,12,1601,70,4187,54,5704,58,4988,57,4708,2,7975,8853,7969,7899,9338,5601,0
Hendrix College,70,37816,Private not-for-profit,1444,11,100,100,27823,20,5165,20,4487,14,1038,41,6410,100,24195,46,7158,46,6142,4,11448,22463,19788,20682,20719,24123,15443
John Brown University,65,22734,Private not-for-profit,2596,15,99,95,15774,42,4314,31,4243,39,1285,30,4686,95,12427,54,7576,54,6976,12,2997,17552,16368,14601,16931,20617,12624
Ouachita Baptist University,60,22370,Private not-for-profit,1543,12,99,99,15116,29,3946,29,3755,6,932,60,5025,99,10955,61,6418,61,5381,7,9678,16370,14713,14154,15680,18007,10856
University of the Ozarks,48,24350,Private not-for-profit,585,10,98,92,17918,44,4804,43,4366,19,1300,55,4751,90,13178,64,10063,50,6433,53,6001,16493,15339,12469,16744,18014,13029
